pic_name,camera_movement_needed,result_text
1.jpg,否,"Kitten slowly turns head toward yarn ball, eyes widening with curiosity, paws reaching out to gently bat at the ball, whiskers twitching with playful intent."
2.jpg,否,"Girl slowly lifts her head, eyes brightening with warmth, breaking into a gentle smile, hair softly illuminated by natural light flowing around her face."
3.jpg,是,"Camera follows high-speed sports car accelerating forward, vehicle cutting through the landscape with precision, background blurring past, showcasing the raw power and elegance of motion."
4.jpg,否,"Samurai warrior slowly draws and raises the lightsaber, red blade igniting with fierce glow, dark robes flowing dramatically in the wind, stance shifting to combat position."
5.jpg,否,"Koi fish gracefully glides through misty water, fins moving in elegant rhythm, creating gentle ripples, traditional ink painting style with soft flowing movements."
6.jpg,是,"Three horses galloping powerfully forward, knight's white cloak billowing dramatically, camera smoothly follows the thundering group, dust kicking up, capturing the raw energy and majesty of the charge."
7.jpg,是,"Tracking shot follows girl on roller coaster, hands gripping safety bars tightly, expression shifting from nervous anticipation to pure exhilaration, hair whipping backward as the coaster plunges, camera capturing the full thrill experience."
8.jpg,是,"Camera with dynamic movement closely follows running figure through narrow corridor, background walls and pipes blurring rapidly past, creating intense sense of speed and urgency, emergency lighting flashing."
9.jpg,否,"Witch gracefully raises magic wand, mystical energy swirling around her, autumn leaves dancing in magical currents, hat decorations swaying, creating enchanting atmosphere."
10.jpg,否,"Girl sits peacefully by infinity pool, legs gently swaying in crystal water, tropical breeze softly moving her hair, creating serene vacation moment with stunning ocean view."
11.jpg,否,"Four anime girls chatting intimately in cozy cafe, occasionally raising drinks in toast, hair and clothing moving naturally, fairy lights twinkling warmly in background."
12.jpg,否,"Anime girl gracefully spins, long black hair flowing in beautiful arcs, teddy bears floating gently around her, creating dreamy, weightless atmosphere."
13.jpg,是,"Hiker walks steadily forward along mountain path, camera slowly following from behind, capturing the journey's rhythm, sunrise casting long shadows, backpack swaying with each step."
14.jpg,否,"Three anime characters engaged in animated conversation, expressions changing naturally, subtle gestures and head movements, clothing moving gently in soft breeze."
15.jpg,否,"Little girl excitedly waves both hands, massive Chinese dragon serpentining gracefully through the air above, red lanterns swaying gently, fireworks bursting in celebration."
16.jpg,否,"Girl slowly brings teacup to lips, cozy red sweater shifting naturally, warm smile spreading across her face, steam rising delicately from the cup in peaceful home setting."
17.jpg,否,"Fox-eared maid carefully walks forward carrying birthday cake, fluffy tail swaying rhythmically, candles flickering gently, maintaining perfect balance in elegant manor hallway."
18.jpg,否,"Three anime characters in natural conversation, facial expressions and body language changing subtly, hair moving softly, capturing authentic human interaction moment."
19.jpg,否,"Starry night sky with swirling celestial patterns slowly rotating, stars twinkling with varying intensity, creating mesmerizing cosmic dance, cypress tree standing sentinel."
20.jpg,否,"Girl floating peacefully in decorative bath, gentle movements creating soft ripples, flower petals drifting lazily on water surface, creating tranquil spa-like atmosphere."
